# Angle	O-O-O	O-Si-O	Si-O-Si	Si-Si-Si
148.39	0.00732	0.00000	0.02619	0.00292
148.61	0.00758	0.00000	0.02476	0.00258
148.84	0.00748	0.00000	0.02498	0.00270
149.06	0.00745	0.00000	0.02630	0.00247
149.29	0.00745	0.00000	0.02541	0.00236
149.51	0.00748	0.00000	0.02565	0.00254
149.74	0.00726	0.00000	0.02556	0.00224
149.96	0.00714	0.00000	0.02425	0.00234
150.19	0.00718	0.00000	0.02545	0.00221
150.41	0.00706	0.00001	0.02531	0.00206
150.64	0.00694	0.00000	0.02483	0.00212
150.86	0.00709	0.00000	0.02500	0.00199
151.09	0.00704	0.00000	0.02500	0.00209
151.31	0.00701	0.00001	0.02446	0.00198
151.54	0.00700	0.00000	0.02461	0.00186
151.76	0.00673	0.00000	0.02536	0.00200
151.99	0.00691	0.00000	0.02473	0.00175
152.21	0.00674	0.00000	0.02388	0.00174
152.44	0.00679	0.00000	0.02388	0.00179
152.66	0.00668	0.00000	0.02429	0.00159
152.89	0.00661	0.00000	0.02311	0.00166
153.11	0.00667	0.00000	0.02356	0.00147
153.34	0.00649	0.00001	0.02439	0.00154
153.56	0.00639	0.00000	0.02252	0.00161
153.79	0.00645	0.00000	0.02342	0.00155
154.01	0.00640	0.00000	0.02310	0.00139
154.24	0.00634	0.00000	0.02338	0.00137
154.46	0.00618	0.00000	0.02280	0.00135
154.69	0.00624	0.00000	0.02332	0.00131
154.91	0.00620	0.00000	0.02304	0.00133
155.14	0.00608	0.00001	0.02292	0.00129
155.36	0.00609	0.00000	0.02338	0.00123
155.59	0.00605	0.00001	0.02264	0.00120
155.81	0.00603	0.00000	0.02140	0.00113
156.04	0.00584	0.00000	0.02239	0.00112
156.26	0.00575	0.00000	0.02176	0.00111
156.49	0.00568	0.00000	0.02126	0.00098
156.71	0.00581	0.00000	0.02174	0.00102
156.94	0.00585	0.00000	0.02144	0.00107
157.16	0.00560	0.00000	0.02151	0.00109
157.39	0.00553	0.00000	0.02173	0.00093
157.61	0.00559	0.00000	0.02159	0.00092
157.84	0.00538	0.00000	0.02131	0.00098
158.06	0.00543	0.00000	0.02068	0.00092
158.29	0.00545	0.00000	0.02061	0.00088
158.51	0.00536	0.00001	0.02151	0.00096
158.74	0.00524	0.00000	0.02025	0.00079
158.96	0.00519	0.00001	0.02100	0.00081
159.19	0.00512	0.00000	0.02044	0.00085
159.41	0.00529	0.00000	0.02029	0.00073
159.64	0.00509	0.00000	0.02008	0.00076
159.86	0.00499	0.00000	0.02019	0.00070
160.09	0.00498	0.00000	0.01972	0.00079
160.31	0.00487	0.00000	0.01952	0.00066
160.54	0.00481	0.00000	0.01958	0.00059
160.76	0.00480	0.00000	0.02018	0.00060
160.99	0.00467	0.00000	0.01968	0.00061
161.21	0.00467	0.00001	0.01945	0.00056
161.44	0.00459	0.00000	0.01880	0.00061
161.66	0.00458	0.00001	0.01857	0.00060
161.89	0.00461	0.00001	0.01893	0.00049
162.11	0.00447	0.00000	0.01870	0.00041
162.34	0.00433	0.00000	0.01799	0.00045
162.56	0.00431	0.00000	0.01718	0.00042
162.79	0.00425	0.00000	0.01738	0.00043
163.01	0.00420	0.00000	0.01693	0.00040
163.24	0.00421	0.00000	0.01707	0.00039
163.46	0.00412	0.00000	0.01579	0.00034
163.69	0.00406	0.00000	0.01758	0.00040
163.91	0.00398	0.00000	0.01639	0.00030
164.14	0.00386	0.00000	0.01484	0.00034
164.36	0.00392	0.00000	0.01596	0.00035
164.59	0.00388	0.00000	0.01654	0.00034
164.81	0.00385	0.00000	0.01511	0.00031
165.04	0.00371	0.00000	0.01570	0.00032
165.26	0.00365	0.00000	0.01590	0.00026
165.49	0.00358	0.00001	0.01480	0.00029
165.71	0.00359	0.00000	0.01498	0.00030
165.94	0.00354	0.00000	0.01460	0.00024
166.16	0.00356	0.00000	0.01442	0.00024
166.39	0.00335	0.00001	0.01482	0.00026
166.61	0.00335	0.00001	0.01462	0.00023
166.84	0.00324	0.00001	0.01392	0.00022
167.06	0.00330	0.00000	0.01344	0.00026
167.29	0.00321	0.00000	0.01329	0.00022
167.51	0.00307	0.00000	0.01387	0.00023
167.74	0.00313	0.00000	0.01426	0.00019
167.96	0.00287	0.00000	0.01347	0.00014
168.19	0.00281	0.00002	0.01284	0.00018
168.41	0.00277	0.00000	0.01279	0.00018
